,page_link,product_name,item_no,description,style,material,type_class,color,rating
0,https://www.overstock.com/Home-Garden/Carson-Carrington-Brandbu-Mid-century-Fold-Down-Futon/20370480/product.html?refccid=6YCE2DJ37ZWJL62OLCDFNVZGFU&searchidx=1,Carson Carrington Brandbu Mid-century Fold Down Futon,20370480,"Inspired by 1950's decor, the Brandbu futon is a perfect combination of style and function. The oak-finished wood frame folds down into a full-size bed and is padded with plush foam and polyester for support. Linen upholstery covers this piece and is accented with ribbed tufting for depth.","Mid-Century Modern, Scandinavian","Foam, Linen, Wood","Futon Set, Sofa","Blue, Green, Grey, Pink, Yellow",4.1
1,https://www.overstock.com/Home-Garden/Knightsbridge-Tufted-Scroll-Arm-Chesterfield-Sofa-by-iNSPIRE-Q-Artisan/9242312/product.html?refccid=6YCE2DJ37ZWJL62OLCDFNVZGFU&searchidx=2,Knightsbridge Tufted Scroll Arm Chesterfield Sofa by iNSPIRE Q Artisan,16408509,"Treat your living room to a classic, sophisticated look with this elegant Knightsbridge sofa from iNSPIRE Q® Artisan. The classic chesterfield silhouette is receives a modern day update with the silky linen or velvet upholstery. Featuring a tufted back and rolled arms, this sofa exudes handsome and comfortable style. The reversible seat cushions are filled with high-density foam and feature removable covers with zippers for easy cleaning. With your choice of neutral or bold linens, you are sure to find the perfect fit for your space.","French Country, French County, Traditional, Transitional","Fabric, Linen, Velvet",Sofa,"Black, Grey, Purple, Red",4.4
2,https://www.overstock.com/Home-Garden/Knightsbridge-Beige-Fabric-Button-Tufted-Chesterfield-Sofa-and-Seating-by-iNSPIRE-Q-Artisan/8763005/product.html?refccid=6YCE2DJ37ZWJL62OLCDFNVZGFU&searchidx=3,Knightsbridge Beige Fabric Button Tufted Chesterfield Sofa and Seating by iNSPIRE Q Artisan,16005239,"Update your living space with this curated Knightsbridge room set from iNSPIRE Q Artisan. Seat all your guests in comfort with the sofa and loveseat, both upholstered in beige linen. Their vintage elements like button tufting, rolled back design, and bold balusters create a sense of elegance.","French Country, Traditional, Transitional","Fabric, Foam, Linen, Wood","Sets, Sofa",Beige,4.5
3,https://www.overstock.com/Home-Garden/Uptown-II-Modern-Sofa-by-iNSPIRE-Q-Classic/22377537/product.html?refccid=6YCE2DJ37ZWJL62OLCDFNVZGFU&searchidx=4,Uptown II Modern Sofa by iNSPIRE Q Classic,28015561,"Simple and sleek, the Uptown II Modern Sofa by iNSPIRE Q® Classic effortlessly blends seamlessly in any existing design scheme. The sofa has a sleek silhouette with flared arms that are balanced by dark espresso finish legs that match existing decor well. The dense foam-filling is upholstered in soft fabric that will have you and your guests sitting in serenity. The sofa complements modern, contemporary, classic, and transitional styled spaces. Select the sofa alone or create a cohesive look with the sofa and loveseat set. Choose from five fabric colors to suit your style.","Casual, Modern & Contemporary","Fabric, Foam, Wood",Sofa,"Black, Blue, Brown, Cream, Grey, Off-White, Tan",3.5
4,https://www.overstock.com/Home-Garden/Clay-Alder-Home-Pope-Street-Arm-Convert-a-Couch-Mocha-Tan-Microfiber-Futon-Sleeper-Sofa/20690019/product.html?refccid=6YCE2DJ37ZWJL62OLCDFNVZGFU&searchidx=5,Clay Alder Home Pope Street Arm Convert-a-Couch Mocha Tan Microfiber Futon Sleeper Sofa,20690019,Sleepover or just watch the game with this mocha tan microfiber sofa that transitions with ease. Steel seat and back frame reinforced with metal-to-metal connections.  for strength and durability,"Modern & Contemporary, Traditional, Transitional","Microfiber, Polyester",Sofa,Tan,4.3
5,https://www.overstock.com/Home-Garden/Clay-Alder-Home-Klingle-Chocolate-Brown-Velvet-Convert-a-Couch-Storage-Arm-Futon-Sofa-Sleeper/20254906/product.html?refccid=6YCE2DJ37ZWJL62OLCDFNVZGFU&searchidx=6,Clay Alder Home Klingle Chocolate Brown Velvet Convert-a-Couch Storage Arm Futon Sofa Sleeper,20254906,"Ensure that your guests are cozy and comfortable with this sophisticated sleeper sofa. Designed with a storage area and cup holder on each arm, this sofa features steel seats and a back frame reinforced with metal to metal connections for strength and durability. ",Square Arms,"Polyester, Velvet","Sleeper Sofa, Sofa",Brown,4.0
6,https://www.overstock.com/Home-Garden/Abbyson-Leyla-Turquoise-Top-Grain-Leather-Push-Back-Reclining-Sofa/16005086/product.html?refccid=6YCE2DJ37ZWJL62OLCDFNVZGFU&searchidx=7,Abbyson Leyla Turquoise Top Grain Leather Push Back Reclining Sofa,22398232,"Unwind by sitting on this top-grain leather sofa, featuring a turquoise finish for a traditional look. The high-density foam provides durability, and the reclining feature lets you lean back for superior comfort. ""Enjoy contemporary comfort and style when you seat yourself in this durable, top-stitched, leather-upholstered recliner. The low-profile block feet provide maximum stability for the solidly built wood frame.",Traditional,Leather,Sofa,Blue,4.6
7,https://www.overstock.com/Home-Garden/Elston-Linen-Tufted-Sloped-Track-Sofa-iNSPIRE-Q-Modern/8859663/product.html?refccid=6YCE2DJ37ZWJL62OLCDFNVZGFU&searchidx=8,Elston Linen Tufted Sloped Track Sofa iNSPIRE Q Modern,16087013,"Relax in chic style with the Elston sloped-arm sofa from iNSPIRE Q® MODERN. Soft linen that stands up to daily use and removable cushions allow you to adjust how much back support you use while sitting. The single button tuft on each back cushion adds a fun, vintage touch. The neutral upholstery options are the perfect base to experiment with bold prints and fun throws.",Transitional,"Fabric, Linen",Sofa,"Black, Brown, Grey, White",4.0
8,https://www.overstock.com/Home-Garden/Oana-Oatmeal-Mid-Century-Tapered-Leg-Seating-Collection-with-Pillows-by-iNSPIRE-Q-Modern/16741289/product.html?refccid=6YCE2DJ37ZWJL62OLCDFNVZGFU&searchidx=9,Oana Oatmeal Mid-Century Tapered Leg Seating Collection with Pillows by iNSPIRE Q Modern,23053049,"The light and fresh design, tapered legs, and oatmeal tweed upholstery of this seating collection create a stylish look that embraces vintage flair and modern living. Complete your living room decor with these chic seating options.","Beach, Mid-Century Modern, Modern & Contemporary, Scandinavian","Fabric, Foam, Wood","Loveseat, Sets, Sofa","Beige, Brown, Off-White",4.4
9,https://www.overstock.com/Home-Garden/Handy-Living-Regina-Scooped-Arm-Blue-Tweed-SoFast-Sofa/21008940/product.html?refccid=6YCE2DJ37ZWJL62OLCDFNVZGFU&searchidx=10,Handy Living Regina Scooped Arm Blue Tweed SoFast Sofa,26801354,"Whether added to your living room, den or office, the Regina SoFast sofa is covered in an blue tweed fabric and boasts a versatile transitional design that will elevate your home. The sofa features square scooped arms, 2 button tufted back cushions and a split seat cushion that provides comfort and style.","Modern & Contemporary, Transitional, Urban",Polyester,Sofa,Blue,4.0
10,https://www.overstock.com/Home-Garden/Handy-Living-Springfield-Dove-Grey-Linen-Click-Clack-Futon-Sofa-Bed/16747693/product.html?refccid=6YCE2DJ37ZWJL62OLCDFNVZGFU&searchidx=11,Handy Living Springfield Dove Grey Linen Click Clack Futon Sofa Bed,23058666,"The Handy Living Springfield stylish modern click clack sofa is coverd in a dove grey linen fabric and features a tufted back, track arms and a sleek bench style seat which converts easily into a full size sleeping surface. Make room for an unexpected guest or create a modern bedroom with this updated convertible futon that is so easy to assemble.","Modern & Contemporary, Traditional","Foam, Metal, Polyester","Sleeper Sofa, Sofa",Grey,4.1
11,https://www.overstock.com/Home-Garden/Palm-Canyon-Motif-Mid-century-Modern-Mustard-Yellow-Linen-Sofa/23122655/product.html?refccid=6YCE2DJ37ZWJL62OLCDFNVZGFU&searchidx=12,Palm Canyon Motif Mid-century Modern Mustard Yellow Linen Sofa,23122655,"This squared arm sofa boasts a linen-like mustard yellow fabric in a mid century modern design that will elevate your home. The sofa features a square back with a lace tufted design, sinuous springs and a thick foam cushion for extraordinary comfort.","Traditional, Transitional","Linen, Polyester",Sofa,Yellow,4.5
12,https://www.overstock.com/Home-Garden/DHP-Grey-Paxson-Linen-Futon/20603182/product.html?refccid=6YCE2DJ37ZWJL62OLCDFNVZGFU&searchidx=13,DHP Grey Paxson Linen Futon,17622592,"Create a mid-century modern vibe in your living room or guestroom when you install this grey futon from DHP. Its neat styling, squared-off arms and smooth, upscale linen upholstery combine to create a finished look for your decor. The subtle grey upholstery pairs well with modern neutrals or serves as a neutral backdrop for colorful pillows or throws.","Mid-Century Modern, Scandinavian","Foam, Linen, Metal","Futon Set, Sofa",Grey,3.9
13,https://www.overstock.com/Home-Garden/Handy-Living-Springfield-Orange-Linen-Click-Clack-Futon-Sofa-Bed/17520744/product.html?refccid=6YCE2DJ37ZWJL62OLCDFNVZGFU&searchidx=14,Handy Living Springfield Orange Linen Click Clack Futon Sofa Bed,23746047,"The Handy Living Springfiled stylish modern click clack sofa is coverd in a vibrant orange linen fabric and features a tufted back, track arms and a sleek bench style seat which converts easily into a full size sleeping surface. Make room for an unexpected guest or create a modern bedroom with this updated convertible futon that is so easy to assemble.","Traditional, Transitional",Polyester,"Sleeper Sofa, Sofa",Orange,4.4
14,https://www.overstock.com/Home-Garden/Sawyer-Mid-Century-Modern-3-seater-Fabric-Sofa-by-Christopher-Knight-Home/18122434/product.html?refccid=6YCE2DJ37ZWJL62OLCDFNVZGFU&searchidx=15,Sawyer Mid Century Modern 3-seater Fabric Sofa by Christopher Knight Home,24276413,"This modern, 3-person sofa is the perfect endnote for your living room, combining elegance and comfort in a superbly-crafted package. You will especially appreciate the attractive legs and the handsome upholstery buttons on the upper cushions. This piece will be a part of your family for years to come.","Mid-Century Modern, Modern & Contemporary","Polyester, Rubberwood",Sofa,"Blue, Green, Grey",4.6
15,https://www.overstock.com/Home-Garden/Hancock-Tufted-Top-Grain-Italian-Leather-Chesterfield-Sofa/8126984/product.html?refccid=6YCE2DJ37ZWJL62OLCDFNVZGFU&searchidx=16,Hancock Tufted Top Grain Italian Leather Chesterfield Sofa,15472806,"Bring classical sophistication and cozy appeal into your den of living room with this gorgeous Chesterfield leather sofa. Crafted with durable, hardwood frames, the sofa features double-wrapped foam padding for extra luxury, and soft, top grain Italian leather upholstery. The rolled arms, button tufted back, and nail head trim combine to create an elegant look that beautifully complements the rustic comfort of this handsome sofa.",Traditional,"Foam, Leather, Wood",Sofa,"Brown, Grey, Off-White",4.7
16,https://www.overstock.com/Home-Garden/Bastian-Aniline-Leather-Sofa-by-iNSPIRE-Q-Modern/14124766/product.html?refccid=6YCE2DJ37ZWJL62OLCDFNVZGFU&searchidx=17,Bastian Aniline Leather Sofa by iNSPIRE Q Modern,20729828,"This leather seating arrangement from iNSPIRE Q® Modern will create an air of understated sophistication and elegance in any living or family room. Simple contours and luxurious leather upholstery recall a classic mid-century look while contemporary touches like chrome feet give the design a modern twist. The warm caramel upholstery is perfect for sitting and chatting with friends and family, or kicking back and relaxing. Choose between dark brown or warm caramel upholstery to suit your preferred color scheme. Bring comfort and style into your home with these beautiful pieces.",Modern & Contemporary,"Faux Leather, Foam, Leather, Metal, Polyurethane, Synthetic Leather, leather","Loveseat, Sets, Sofa","Brown, Orange, Silver, Tan",4.4
